id,type,taxi_time,gate (block) hour,runway hour,rwy_day,distance,angle,angle error,shortest path,distance_gate,distance_long,distance_else,rwy,rwy_num,operation_mode,other_moving_ac,QDepDep,QDepArr,QArrDep,QArrArr,NDepDep,NDepArr,NArrDep,NArrArr
08-Aug-2021_LOG7J,departure,7.35,17,17,08,1694.3874274807908,442.78405755079376,0,1335.4527801025747,67.2740771544,891.6137929142803,735.4995574121106,23R/05L,1,0,2,1,0,0,0,2,0,0,0
15-Aug-2021_LOG7J,departure,4.166666666666667,17,17,15,1057.2607333623112,766.605791648019,0,702.4001663165453,0,0,1057.2607333623112,23R/05L,1,0,3,0,0,0,0,1,2,0,0
31-Aug-2021_LOG7J,departure,3.6,17,17,31,1792.980392535427,168.49771730400124,0,1614.495251965655,0,1097.475619629873,695.5047729055539,23R/05L,1,0,3,0,0,0,0,1,2,0,0
08-Aug-2021_SAS98U,departure,14.35,18,18,08,2070.1723475525655,372.8688409442439,0,1860.5222109450042,83.4322277087,974.8760264943767,1011.8640933494889,23R/05L,1,0,3,2,3,0,0,1,1,0,0
08-Aug-2021_TOM6JV,arrival,8.066666666666666,18,18,08,2457.3646404815877,545.8613161368519,0,2195.3594769551773,126.201474686,0,2331.1631657955877,23R/05L,1,0,1,0,0,1,0,0,0,1,0
15-Aug-2021_TOM6JV,arrival,8.466666666666667,17,17,15,2473.06503609043,592.0837372133786,0,2229.384862546947,106.423920412,796.0465784219341,1570.594537256496,23R/05L,1,0,2,0,0,1,0,0,0,0,1
29-Aug-2021_TOM6JV,arrival,6.966666666666667,17,17,29,2103.307901012841,600.6037061775819,0,1977.3702382634367,126.201474686,608.7054608738868,1368.400965452954,23R/05L,1,0,8,0,0,3,0,0,0,3,3
08-Aug-2021_484CB9,arrival,3.6333333333333333,19,19,08,1733.4244787414264,472.75368957505236,0,1386.1941587304932,101.049188081,0,1632.3752906604263,,-1,0,0,0,0,0,0,0,0,0,0
10-Aug-2021_484CB9,arrival,4.433333333333334,19,19,10,1733.4244787414264,472.75368957505236,0,1386.1941587304932,101.049188081,0,1632.3752906604263,,-1,0,1,0,0,0,0,0,0,0,0
09-Aug-2021_EZY74QN,departure,8.783333333333333,04,04,09,2503.3314096143936,640.5173116696169,0,1916.6275278886042,104.571349969,974.8760264943767,1423.8840331510169,23R/05L,1,0,11,4,0,0,0,5,1,0,0
11-Aug-2021_EZY74QN,departure,9.85,15,15,11,2020.7583575141653,372.693491328054,0,1802.8559328269039,91.6845157884,974.8760264943767,954.1978152313886,23R/05L,1,0,6,2,3,0,0,3,2,0,0
13-Aug-2021_EZY74QN,departure,20.083333333333332,04,04,13,2164.9496543518135,815.3850565080819,0,1785.097322290547,120.216071857,709.7835036448448,1334.9500788499686,23R/05L,1,0,18,8,1,0,0,9,4,0,0
16-Aug-2021_EZY74QN,departure,8.316666666666666,04,04,16,1627.1133503263904,359.479738843285,0,1387.2043563481748,0,891.6137929142803,735.4995574121101,23R/05L,1,0,11,4,0,0,0,7,1,0,0
18-Aug-2021_EZY74QN,departure,14.683333333333334,15,15,18,2083.4134372597723,749.9929945851584,0,1748.887065417704,83.0918278028,0,2000.3216094569723,23R/05L,1,0,10,2,5,0,0,1,4,0,0
20-Aug-2021_EZY74QN,departure,12.65,03,04,20,2503.3314096143936,640.5173116696169,0,1916.6275278886042,104.571349969,974.8760264943767,1423.8840331510169,23R/05L,1,0,7,3,0,0,0,2,1,0,0
23-Aug-2021_EZY74QN,departure,11.0,04,04,23,1549.6540537600906,360.73684226500023,0,1354.24344035388,71.1519727783,891.6137929142803,586.8882880675103,23R/05L,1,0,9,3,1,0,0,3,1,0,0
25-Aug-2021_EZY74QN,departure,11.816666666666666,15,15,25,2169.070847924641,454.22207728212777,0,2027.1474836812408,88.9090138822,1014.0460966443912,1066.11573739805,23R/05L,1,0,6,2,3,0,0,3,2,0,0
27-Aug-2021_EZY74QN,departure,45.05,03,04,27,2541.928729636146,454.29382662714454,0,2253.566070862346,106.733294121,1014.0460966443912,1421.1493388707545,23R/05L,1,0,7,6,1,0,0,0,2,0,0
30-Aug-2021_EZY74QN,departure,8.933333333333334,03,04,30,1746.7339222464336,371.70245081955375,0,1477.4455825554617,83.0918278028,0,1663.6420944436336,23R/05L,1,0,9,3,0,0,0,3,1,0,0
01-Sep-2021_EZY74QN,departure,7.75,15,15,01,2301.344954495741,448.68695935272365,0,2224.038307910941,0,1014.0460966443912,1287.29885785135,23R/05L,1,0,5,2,1,0,0,2,0,0,0
09-Aug-2021_3C4D68,departure,1.7333333333333334,04,04,09,170.6396287514,65.61755255686586,0,24.2922962236,91.7350856234,0,78.90454312800001,,-1,0,10,1,0,0,0,7,1,0,0
23-Aug-2021_4CA6FC,arrival,0.35,16,16,23,266.1880893203606,121.22559754933604,0,109.60882060446409,0,0,266.1880893203606,23R/05L,1,0,4,0,0,0,0,0,0,2,2
09-Aug-2021_PGT7343,arrival,4.6,07,07,09,1749.2134861711875,567.4322541299725,0,1204.5931143845496,103.676652407,0,1645.5368337641876,23R/05L,1,0,4,0,0,1,1,0,0,1,2
09-Aug-2021_484165x0,arrival,5.116666666666666,08,08,09,1757.5250973293903,291.9906627251157,0,1281.9281842352932,90.959777885,0,1666.5653194443903,,-1,0,5,0,0,0,1,0,0,2,2
09-Aug-2021_484165x1,departure,1.7166666666666666,09,09,09,928.2121278953502,224.0606514271093,0,718.3142814783508,0,0,928.2121278953502,23R/05L,1,0,5,0,0,0,0,2,3,0,0
09-Aug-2021_AXY0921,arrival,1.95,09,09,09,1114.05352281797,191.1278196191008,0,596.458889791312,0,0,1114.05352281797,23R/05L,1,0,7,0,0,0,1,0,0,3,4
17-Aug-2021_89649Fx1,departure,4.883333333333334,12,12,17,1647.9663153417541,246.00423928057427,0,1424.495645850236,0,974.8760264943767,673.0902888473775,23R/05L,1,0,3,1,1,0,0,1,2,0,0
27-Aug-2021_LIGHT 1,arrival,0.21666666666666667,23,23,26,296.2749404612,206.44832317112687,0,104.2659744952,192.008965966,0,104.2659744952,,-1,0,4,0,0,0,0,0,0,1,3
09-Aug-2021_SVW35ET,arrival,103.15,12,10,09,2710.6235932579475,572.5812395756112,0,2101.1901139045226,0,974.8760264943767,1735.7475667635708,23R/05L23R/05L,-1,0,8,0,0,12,19,0,0,2,1
09-Aug-2021_EZY21YK,arrival,3.75,11,11,09,1694.6012392667876,569.65732096163,0,1204.5931143845496,103.676652407,0,1590.9245868597877,23R/05L,1,0,6,0,0,1,1,0,0,1,3
12-Aug-2021_EZY21YK,arrival,0.8666666666666667,23,23,11,494.10710097325557,185.46761480919756,0,101.25371224509999,0,0,494.10710097325557,23R/05L,1,0,0,0,0,0,0,0,0,0,0
13-Aug-2021_EZY21YK,arrival,7.066666666666666,12,12,13,1609.1533300854098,538.2816578016995,0,1181.3817263466542,120.216071857,0,1488.9372582284097,23R/05L,1,0,10,0,0,3,1,0,0,5,4
16-Aug-2021_EZY21YK,arrival,3.5,12,12,16,1749.2134861711875,567.4322541299725,0,1204.5931143845496,103.676652407,0,1645.5368337641876,23R/05L,1,0,5,0,0,0,1,0,0,1,4
19-Aug-2021_EZY21YK,arrival,3.5833333333333335,23,23,18,1635.2519595347978,354.7888385515349,0,1165.5475705102426,162.1488571428,806.5635632358426,666.5395391561551,23R/05L,1,0,1,0,0,0,0,0,0,0,1
20-Aug-2021_EZY21YK,arrival,3.75,11,11,20,1635.2519595347978,354.7888385515349,0,1165.5475705102426,162.1488571428,806.5635632358426,666.5395391561551,23R/05L,1,0,4,0,0,0,0,0,0,1,2
23-Aug-2021_EZY21YK,arrival,2.2666666666666666,12,12,23,1060.445301081171,243.68477881355307,0,888.6957926568634,0,608.7054608738868,451.73984020728426,23R/05L,1,0,6,0,0,0,0,0,0,4,1
26-Aug-2021_EZY21YK,arrival,4.55,23,23,25,1578.6215762831825,443.27170137521205,0,1338.187161006975,103.676652407,608.7054608738868,866.2394630022959,23R/05L,1,0,3,0,0,0,0,0,0,0,0
27-Aug-2021_EZY21YK,arrival,8.55,12,11,27,2243.927301781433,719.7878122228688,0,1905.1558717533728,90.959777885,608.7054608738868,1544.262063022546,23R/05L,1,0,4,0,0,1,0,0,0,1,1
30-Aug-2021_EZY21YK,arrival,4.366666666666666,11,11,30,1566.1265656201183,446.436009447271,0,1259.2826178789749,170.07485191,608.7054608738868,787.3462528362315,23R/05L,1,0,4,0,0,1,0,0,0,1,2
09-Aug-2021_CLF443,arrival,1.2833333333333334,12,12,09,653.5672805453642,183.3432998362418,0,101.25371224509999,0,0,653.5672805453642,23R/05L,1,0,5,0,0,0,1,0,0,1,3
12-Aug-2021_4CA736x0,departure,10.3,05,05,12,172.9115265468,91.57030692039912,0,0,83.4322277087,0,89.4792988381,,-1,0,10,3,1,0,0,9,0,0,0
12-Aug-2021_4CA736x1,arrival,0.9,11,11,12,184.63906962549999,86.93896359091501,0,58.7217314747,71.0274540777,0,113.61161554779999,,-1,0,4,0,0,0,0,0,0,2,2
15-Aug-2021_EXS760,arrival,5.666666666666667,15,15,15,2554.323871998688,537.7586775078075,0,2417.3468782259633,71.3005402027,1019.764459621634,1463.2588721743537,,-1,0,3,0,0,0,1,0,0,0,2
18-Aug-2021_EXS760,arrival,7.25,14,14,18,3363.7234927959494,603.0069134343705,0,3022.4252383966764,67.0385622797,1019.764459621634,2276.9204708946154,23R/05L,1,0,7,0,0,1,4,0,0,1,4
20-Aug-2021_EXS760,arrival,4.183333333333334,15,15,20,2399.70850774713,501.5305291287781,0,2229.384862546947,0,796.0465784219341,1603.661929325196,23R/05L,1,0,5,0,0,1,0,0,0,2,2
23-Aug-2021_EXS760,arrival,8.466666666666667,14,14,23,3061.651523864867,655.5148640712555,0,2804.435999704935,67.0385622797,1679.1439135036208,1315.4690480815466,23R/05L,1,0,10,0,0,2,0,0,0,3,2
09-Aug-2021_FLJ53F,arrival,1.45,14,14,09,653.5672805453642,183.3432998362418,0,101.25371224509999,0,0,653.5672805453642,23R/05L,1,0,10,0,0,2,0,0,0,8,2
10-Aug-2021_FLJ53F,departure,5.616666666666666,07,07,10,2057.0563127125833,347.76094065762703,0,1730.3022398175694,0,974.8760264943767,1082.1802862182067,23R/05L,1,0,1,0,0,0,0,0,0,0,0
09-Aug-2021_NJE839C,arrival,1.45,15,15,09,653.5672805453642,183.3432998362418,0,101.25371224509999,0,0,653.5672805453642,23R/05L,1,0,4,0,0,1,0,0,0,2,1
09-Aug-2021_NJE167P,departure,5.5,16,16,09,2057.0563127125833,347.76094065762703,0,1730.3022398175694,0,974.8760264943767,1082.1802862182067,23R/05L,1,0,4,1,0,0,0,1,1,0,0
10-Aug-2021_EXS2BG,departure,15.166666666666666,05,05,10,2717.4831312859883,591.0481163317205,0,2628.820451185666,99.4776789692,974.8760264943767,1643.1294258224116,23R/05L,1,0,9,6,1,0,0,7,0,0,0
17-Aug-2021_EXS2BG,departure,14.566666666666666,05,05,17,2444.3204655343593,555.5957445063191,0,2340.6906700518316,99.4776789692,793.0457372249411,1551.797049340218,23R/05L,1,0,10,5,1,0,0,3,1,0,0
24-Aug-2021_EXS2BG,departure,13.3,05,05,24,3352.5535266390852,629.5330364243912,0,3198.3129188606854,67.0714083598,1616.4993501452705,1668.9827681340148,23R/05L,1,0,9,6,1,0,0,6,1,0,0
10-Aug-2021_LNX80SM,departure,8.166666666666666,05,05,10,2057.0563127125833,347.76094065762703,0,1730.3022398175694,0,974.8760264943767,1082.1802862182067,23R/05L,1,0,6,3,2,0,0,5,1,0,0
10-Aug-2021_CLF643,departure,5.35,06,06,10,2057.0563127125833,347.76094065762703,0,1730.3022398175694,0,974.8760264943767,1082.1802862182067,23R/05L,1,0,4,1,1,0,0,2,1,0,0
10-Aug-2021_HFY721P,arrival,7.35,07,07,10,2306.870859172515,424.14855293356953,0,1867.3340473068415,110.748915794,0,2196.121943378515,23R/05L,1,0,1,0,0,1,0,0,0,1,0
10-Aug-2021_GAC416D,arrival,1.1166666666666667,09,09,10,653.5672805453642,183.3432998362418,0,101.25371224509999,0,0,653.5672805453642,23R/05L,1,0,2,0,0,1,0,0,0,2,0
10-Aug-2021_GAC305E,departure,5.45,09,10,10,2057.0563127125833,347.76094065762703,0,1730.3022398175694,0,974.8760264943767,1082.1802862182067,23R/05L,1,0,4,1,0,0,0,1,2,0,0
10-Aug-2021_4CA8D6,arrival,2.6,10,10,10,719.3204841484409,193.96169704511897,0,435.6924923494884,83.0918278028,0,636.2286563456408,,-1,0,2,0,0,0,0,0,0,0,1
10-Aug-2021_TOM8AB,arrival,5.916666666666667,11,11,10,2058.725064836082,641.4939505973616,0,1627.9399328989014,121.806504544,0,1936.9185602920818,23R/05L,1,0,4,0,0,1,2,0,0,2,2
